0;1;2
0;36;4.0
0;41;3.0
1;45;5.0
2;48;4.0
2;47;4.0
3;22;5.0
3;16;3.0
4;20;3.0
5;19;5.0
6;34;5.0
7;34;4.0
8;31;4.0
8;30;4.0
9;11;4.0
9;19;3.0
10;40;4.0
10;38;4.0
11;9;3.0
11;32;3.0
12;35;4.0
13;30;4.0
14;20;4.0
14;10;3.0
15;20;4.0
15;16;4.0
16;25;4.0
17;2;4.0
18;14;4.0
19;25;4.0
19;9;3.0
20;24;4.0
20;49;3.0
21;28;4.0
21;7;4.0
22;13;4.0
22;44;4.0
23;31;4.0
23;13;4.0
24;39;4.0
24;7;4.0
25;44;4.0
25;34;4.0
26;38;4.0
27;30;4.0
27;4;4.0
28;13;4.0
28;34;4.0
29;49;4.0
29;20;5.0
30;7;4.0
31;10;4.0
32;22;4.0
32;7;4.0
33;23;4.0
33;16;4.0
34;1;4.0
34;37;4.0
35;24;4.0
36;35;4.0
37;5;4.0
38;19;4.0
38;31;4.0
39;30;4.0
39;5;4.0
40;10;4.0
40;43;4.0
41;23;4.0
41;8;4.0
42;12;4.0
42;4;3.0
43;10;4.0
43;16;4.0
44;8;4.0
45;45;4.0
45;22;4.0
46;18;5.0
47;27;4.0
47;48;4.0
48;26;4.0
49;37;5.0
49;24;4.0
50;2;4.0
50;13;3.0
51;1;3.0
52;35;3.0
53;8;4.0
53;13;3.0
54;1;3.0
55;22;3.0
56;41;4.0
56;39;5.0
57;24;4.0
57;17;4.0
58;47;3.0
59;32;5.0
60;17;4.0
61;30;5.0
62;1;4.0
63;12;4.0
64;10;4.0
64;47;3.0
65;6;4.0
66;24;4.0
66;23;5.0
67;42;4.0
67;44;4.0
68;2;5.0
69;30;4.0
70;31;4.0
70;19;4.0
71;6;4.0
71;12;3.0
72;6;4.0
73;21;4.0
74;45;4.0
74;17;4.0
75;12;4.0
75;24;4.0
76;31;5.0
76;10;4.0
77;32;5.0
77;2;4.0
78;25;4.0
79;4;4.0
80;45;4.0
81;45;4.0
82;8;4.0
82;13;4.0
83;28;3.0
84;20;3.0
85;22;4.0
86;23;4.0
86;32;4.0
87;0;5.0
88;35;5.0
88;20;3.0
89;15;4.0
89;19;4.0
90;6;4.0
91;31;4.0
91;9;4.0
92;16;5.0
92;34;4.0
93;45;4.0
94;33;4.0
95;19;3.0
95;30;4.0
96;5;5.0
96;47;5.0
97;12;5.0
97;7;5.0
98;49;3.0
98;33;4.0
99;5;5.0
100;34;4.0
101;19;5.0
101;47;4.0
102;6;4.0
102;8;4.0
103;35;3.0
103;20;4.0
104;44;4.0
104;18;4.0
105;20;5.0
106;47;5.0
107;28;4.0
108;3;4.0
108;34;4.0
109;3;4.0
110;29;5.0
110;8;4.0
111;16;4.0
112;6;4.0
112;29;4.0
113;21;5.0
114;16;5.0
115;19;4.0
116;45;3.0
117;43;4.0
117;5;4.0
118;31;3.0
119;22;3.0
120;49;5.0
120;9;4.0
121;9;5.0
122;34;4.0
123;1;3.0
124;39;4.0
124;22;4.0
125;9;5.0
125;18;4.0
126;16;4.0
127;44;4.0
128;27;4.0
128;34;4.0
129;32;4.0
130;44;5.0
130;21;5.0
131;19;4.0
131;13;3.0
132;18;4.0
133;5;5.0
134;12;4.0
135;24;5.0
135;23;5.0
136;36;3.0
136;41;4.0
137;22;3.0
138;33;3.0
138;31;5.0
139;9;3.0
140;30;4.0
140;20;4.0
141;26;4.0
142;47;5.0
143;30;3.0
143;20;5.0
144;39;4.0
145;35;4.0
145;16;4.0
146;18;4.0
147;30;3.0
148;44;4.0
149;16;4.0
149;6;5.0
150;7;4.0
150;35;4.0
151;27;4.0
152;1;5.0
152;7;5.0
153;4;3.0
153;20;4.0
154;42;4.0
154;16;4.0
155;15;4.0
155;19;5.0
156;4;3.0
157;2;4.0
157;19;3.0
158;47;4.0
158;5;5.0
159;44;5.0
159;13;5.0
160;48;4.0
160;24;4.0
161;47;4.0
162;12;3.0
163;2;5.0
164;48;4.0
164;23;4.0
165;19;4.0
165;23;4.0
166;45;4.0
166;7;4.0
167;27;5.0
168;15;4.0
168;19;4.0
169;20;5.0
170;49;4.0
171;9;4.0
172;34;5.0
173;10;4.0
173;3;4.0
174;21;4.0
174;45;4.0
175;49;5.0
175;24;4.0
176;7;3.0
177;28;4.0
177;39;4.0
178;34;3.0
178;42;3.0
179;40;4.0
179;44;4.0
180;30;4.0
180;47;4.0
181;36;4.0
181;34;4.0
182;34;4.0
182;38;4.0
183;12;3.0
184;7;4.0
184;45;3.0
185;35;4.0
185;34;4.0
186;23;4.0
186;38;4.0
187;34;3.0
188;45;4.0
188;21;4.0
189;42;4.0
190;13;4.0
191;17;4.0
192;28;5.0
192;41;4.0
193;31;4.0
194;47;4.0
195;22;4.0
196;23;4.0
196;48;4.0
197;12;4.0
198;36;4.0
198;16;4.0
199;33;4.0
199;12;3.0
200;10;4.0
200;8;4.0
201;34;6.0
202;7;3.0
203;20;5.0
203;19;3.0
204;7;3.0
205;41;4.0
206;23;5.0
207;31;5.0
208;48;4.0
209;1;4.0
209;37;4.0
210;43;4.0
210;15;4.0
211;31;4.0
211;19;4.0
212;20;4.0
213;34;3.0
213;28;4.0
214;8;4.0
214;0;4.0
215;40;3.0
216;17;4.0
217;40;4.0
218;29;3.0
218;42;4.0
219;21;4.0
219;13;3.0
220;45;5.0
220;6;5.0
221;34;4.0
222;24;3.0
222;34;4.0
223;48;4.0
224;30;4.0
225;16;5.0
225;32;4.0
226;39;4.0
227;47;3.0
228;49;4.0
228;14;5.0
229;5;4.0
229;42;3.0
230;39;4.0
230;36;4.0
231;36;5.0
232;5;4.0
232;30;5.0
233;45;5.0
233;32;4.0
234;16;3.0
234;12;4.0
235;14;3.0
236;2;3.0
237;1;4.0
238;22;3.0
238;34;5.0
239;49;4.0
239;11;4.0
240;15;4.0
240;10;4.0
241;6;3.0
242;2;3.0
243;6;4.0
243;34;4.0
244;10;4.0
245;9;4.0
246;15;4.0
246;21;4.0
247;13;3.0
248;27;4.0
248;34;4.0
249;38;5.0
249;40;4.0
250;28;3.0
250;22;4.0
251;7;4.0
251;6;4.0
252;5;4.0
253;16;4.0
254;30;4.0
254;49;4.0
255;30;4.0
256;24;4.0
257;28;4.0
258;23;4.0
259;10;4.0
259;48;4.0
260;19;4.0
261;40;4.0
261;1;3.0
262;47;4.0
263;45;4.0
263;44;5.0
264;37;4.0
264;9;4.0
265;31;5.0
266;47;4.0
266;7;3.0
267;31;5.0
267;15;4.0
268;19;4.0
268;0;3.0
269;20;4.0
270;48;4.0
271;34;3.0
272;27;5.0
273;1;4.0
273;35;4.0
274;23;5.0
275;12;5.0
275;26;4.0
276;36;4.0
276;28;3.0
277;15;4.0
278;43;4.0
279;48;4.0
280;5;4.0
281;49;3.0
281;29;5.0
282;3;3.0
283;45;5.0
284;45;3.0
284;9;4.0
285;15;3.0
285;4;4.0
286;5;3.0
287;12;4.0
288;39;3.0
288;18;3.0
289;29;4.0
289;44;3.0
290;32;3.0
291;8;5.0
292;49;4.0
293;30;4.0
294;13;4.0
294;21;4.0
295;15;4.0
296;47;4.0
296;5;3.0
297;8;4.0
297;2;5.0
298;27;3.0
299;41;4.0
300;2;4.0
301;8;4.0
301;5;4.0
302;7;4.0
302;35;4.0
303;32;4.0
304;20;4.0
305;38;4.0
306;9;4.0
306;25;5.0
307;40;4.0
308;35;4.0
308;12;4.0
309;19;4.0
310;47;4.0
311;27;4.0
311;44;4.0
312;47;4.0
312;4;4.0
313;47;5.0
313;37;4.0
314;40;4.0
315;0;4.0
316;7;4.0
317;12;5.0
317;18;4.0
318;24;4.0
318;17;4.0
319;8;4.0
320;21;3.0
321;22;3.0
321;28;4.0
322;45;4.0
323;19;4.0
323;6;3.0
324;7;4.0
324;39;4.0
325;24;4.0
326;34;4.0
327;44;4.0
328;12;5.0
329;12;5.0
330;32;4.0
331;45;4.0
331;49;4.0
332;18;4.0
332;27;4.0
333;8;4.0
334;45;5.0
334;15;3.0
335;32;3.0
335;9;4.0
336;47;4.0
337;24;4.0
337;44;4.0
338;36;4.0
338;41;4.0
339;24;4.0
340;35;4.0
341;44;4.0
341;8;4.0
