0;1;2
0;32;5.0
0;10;4.0
1;20;5.0
1;15;4.0
2;34;4.0
2;22;4.0
3;31;4.0
4;14;4.0
4;22;4.0
5;12;5.0
5;18;4.0
6;25;4.0
7;9;5.0
7;29;5.0
8;13;5.0
9;7;5.0
9;36;4.0
10;22;3.0
11;9;4.0
11;24;4.0
12;18;4.0
12;24;4.0
13;1;4.0
13;12;4.0
14;12;4.0
14;7;4.0
15;20;4.0
15;5;3.0
16;2;4.0
16;14;4.0
17;18;5.0
18;24;4.0
18;38;3.0
19;4;3.0
19;32;4.0
20;34;4.0
21;2;3.0
22;16;3.0
23;6;5.0
23;0;4.0
24;30;4.0
24;0;4.0
25;34;4.0
25;8;3.0
26;6;4.0
26;8;4.0
27;31;4.0
28;20;4.0
29;26;4.0
29;5;5.0
30;23;4.0
30;7;4.0
31;4;4.0
31;5;4.0
32;37;4.0
33;1;4.0
33;35;3.0
34;23;4.0
34;38;4.0
35;6;4.0
36;6;5.0
36;20;4.0
37;17;5.0
38;19;4.0
39;24;5.0
40;5;4.0
40;30;4.0
41;29;4.0
42;31;4.0
43;28;4.0
43;16;4.0
44;6;4.0
44;29;3.0
45;2;4.0
45;19;4.0
46;37;4.0
46;26;5.0
47;6;4.0
47;12;4.0
48;15;4.0
49;4;4.0
49;6;4.0
50;34;4.0
51;9;3.0
52;15;4.0
53;14;5.0
54;18;4.0
55;20;4.0
55;6;4.0
56;16;4.0
56;34;5.0
57;33;4.0
57;20;3.0
58;30;4.0
58;9;4.0
59;7;4.0
60;11;4.0
61;3;4.0
62;24;4.0
63;8;4.0
63;0;4.0
64;13;4.0
64;23;4.0
65;20;3.0
65;30;4.0
66;2;4.0
66;31;4.0
67;19;4.0
68;35;4.0
68;23;4.0
69;33;4.0
69;16;5.0
70;34;5.0
70;24;3.0
71;37;5.0
71;18;4.0
72;9;4.0
73;34;3.0
73;29;4.0
74;6;4.0
74;4;3.0
75;39;4.0
76;8;3.0
77;0;4.0
77;2;5.0
78;31;4.0
79;35;4.0
80;29;4.0
80;32;4.0
81;12;4.0
82;9;4.0
82;29;3.0
83;36;5.0
84;17;4.0
84;5;4.0
85;16;4.0
86;23;3.0
86;6;3.0
87;20;4.0
88;6;4.0
88;2;4.0
89;22;5.0
90;9;3.0
90;22;4.0
91;19;4.0
92;25;4.0
93;10;4.0
93;5;4.0
94;5;3.0
94;10;3.0
95;29;4.0
95;22;4.0
96;34;4.0
97;16;4.0
98;31;5.0
98;33;4.0
99;20;5.0
99;32;3.0
100;22;4.0
100;28;4.0
101;39;4.0
102;7;5.0
102;12;4.0
103;19;4.0
104;12;4.0
105;39;4.0
105;22;5.0
106;35;4.0
107;24;4.0
108;20;5.0
109;35;3.0
109;34;4.0
110;39;5.0
110;9;4.0
111;6;4.0
112;3;3.0
113;39;4.0
114;22;4.0
115;34;4.0
115;39;5.0
116;5;4.0
116;10;4.0
117;9;3.0
118;6;4.0
118;9;4.0
119;4;4.0
120;35;4.0
120;24;3.0
121;9;4.0
122;9;4.0
122;5;5.0
123;22;4.0
123;34;4.0
124;7;4.0
124;39;5.0
125;6;4.0
126;15;4.0
127;24;4.0
128;27;3.0
129;30;4.0
129;20;4.0
130;34;5.0
130;11;4.0
131;30;5.0
132;36;5.0
132;39;4.0
133;11;5.0
134;11;4.0
135;20;4.0
135;19;3.0
136;19;4.0
137;27;4.0
137;18;3.0
138;34;4.0
139;35;5.0
140;23;4.0
141;34;5.0
141;29;3.0
142;12;4.0
143;27;4.0
143;12;5.0
144;12;4.0
145;25;4.0
146;10;4.0
146;29;4.0
147;19;4.0
147;31;4.0
148;28;5.0
148;22;5.0
149;14;3.0
149;6;4.0
150;30;4.0
150;15;5.0
151;37;3.0
152;7;3.0
153;8;4.0
153;13;4.0
154;27;4.0
155;13;4.0
156;31;3.0
157;35;4.0
158;10;4.0
159;6;4.0
159;2;4.0
160;23;4.0
160;1;3.0
161;19;4.0
162;7;3.0
162;22;3.0
163;19;3.0
164;34;4.0
164;13;3.0
165;10;4.0
166;8;4.0
166;22;4.0
167;33;4.0
168;4;4.0
169;23;4.0
170;15;4.0
170;20;3.0
171;12;5.0
171;33;3.0
172;13;3.0
172;31;4.0
173;10;3.0
173;5;4.0
174;12;3.0
175;3;4.0
176;34;4.0
177;17;4.0
177;12;4.0
178;36;3.0
179;12;4.0
179;35;4.0
180;6;4.0
180;15;4.0
181;29;4.0
182;31;4.0
182;15;5.0
183;22;3.0
184;31;4.0
184;4;4.0
185;7;5.0
186;18;4.0
186;35;4.0
187;16;4.0
187;8;4.0
188;11;4.0
188;16;4.0
189;28;4.0
189;22;4.0
190;24;5.0
190;23;5.0
191;19;4.0
192;37;3.0
192;7;5.0
193;31;4.0
193;30;4.0
194;34;4.0
194;22;3.0
195;14;4.0
196;18;3.0
197;5;4.0
198;18;4.0
199;34;4.0
