;languages;keywords
0;['spanish'];['rafting', 'countryside', 'literature']
1;['chinese'];['art', 'wine', 'literature', 'sport']
2;['italian'];['sport', 'rafting', 'cinema', 'museums', 'music', 'art']
3;['spanish'];['beer']
4;['french'];['tracking', 'food', 'art', 'countryside', 'rafting', 'history']
5;['bulgarian'];['countryside']
6;['italian'];['literature', 'cinema', 'music', 'archeology', 'art', 'museums', 'sport']
7;['spanish'];['wine', 'music']
8;['english'];['archeology', 'art', 'wine', 'cinema', 'music', 'rafting', 'museums', 'countryside']
9;['bulgarian'];['literature', 'sport', 'tracking']
10;['italian'];['food', 'rafting', 'archeology', 'wine', 'beer', 'cinema', 'countryside', 'museums', 'tracking', 'sport', 'history', 'music']
11;['bulgarian'];['tracking', 'music', 'literature', 'museums']
12;['french'];['beer', 'museums', 'food', 'countryside', 'wine', 'cinema', 'archeology', 'literature', 'rafting']
13;['deutsche'];['beer', 'archeology', 'history', 'cinema']
14;['deutsche'];['rafting', 'beer', 'tracking']
15;['french'];['rafting', 'music', 'sport', 'literature', 'food', 'countryside', 'cinema']
16;['bulgarian'];['countryside', 'literature', 'food', 'art']
17;['french'];['tracking', 'sport', 'music', 'beer', 'art', 'cinema']
18;['french'];['rafting', 'history', 'beer', 'sport', 'cinema']
19;['bulgarian'];['wine', 'tracking']
20;['bulgarian'];['food', 'countryside', 'archeology', 'literature']
21;['spanish'];['countryside', 'tracking', 'literature', 'rafting', 'cinema', 'art', 'history', 'archeology']
22;['chinese'];['literature', 'countryside', 'wine', 'music', 'cinema', 'rafting', 'beer', 'food', 'art', 'sport']
23;['english'];['wine', 'sport', 'countryside', 'museums', 'rafting', 'history']
24;['spanish'];['beer', 'rafting']
25;['chinese'];['beer', 'sport', 'literature', 'food', 'tracking']
26;['italian'];['literature', 'tracking', 'music', 'history', 'art']
27;['deutsche'];['art', 'cinema', 'tracking', 'food']
28;['chinese'];['beer', 'cinema', 'history', 'museums', 'sport', 'food', 'archeology', 'wine', 'literature']
29;['french'];['music']
30;['italian'];['sport', 'countryside', 'archeology', 'food', 'music', 'literature']
31;['deutsche'];['beer', 'cinema']
