;guide;languages;city;attractions;keywords;price;date;duration
0;0;['english'];Lecce;['Celestine Convent', 'Roman Theatre'];['archeology', 'literature'];22;2024-06-30;12
1;1;['italian', 'dutch'];Lecce;['Museo Faggiano'];['museums'];28;2024-06-26;9
2;2;['chinese', 'french', 'english'];Lecce;['Palazzo Carafa', 'Church of Santa Chiara'];['history', 'literature'];27;2024-06-03;11
3;3;['bulgarian'];Lecce;['Villa Comunale di Lecce', 'Church of San Matteo', 'Museo Faggiano'];['countryside', 'literature', 'museums'];31;2024-06-29;11
4;4;['deutsche', 'french'];Lecce;['Torre del Parco', 'Palazzo dei Celestini'];['history'];31;2024-06-17;12
5;5;['deutsche', 'dutch', 'bulgarian'];Lecce;['Museo Faggiano', 'Palazzo dei Celestini'];['history', 'museums'];26;2024-06-29;7
6;6;['english', 'chinese', 'french'];Lecce;"[""Piazza Sant'Oronzo"", 'Villa Comunale di Lecce']";['art', 'countryside'];38;2024-06-28;10
7;7;['spanish', 'dutch', 'french', 'italian'];Lecce;['Celestine Convent'];['literature'];34;2024-07-01;7
8;8;['bulgarian', 'english', 'chinese'];Lecce;['San Giovanni Battista Church', 'Roman Theatre', 'Torre del Parco'];['archeology', 'history', 'literature'];25;2024-06-10;11
9;9;['chinese', 'bulgarian', 'dutch', 'english'];Lecce;['Palazzo dei Celestini'];['history'];29;2024-06-16;8
10;10;['bulgarian', 'deutsche'];Lecce;"['Celestine Convent', 'San Giovanni Battista Church', ""Church of San Niccolo' e Cataldo""]";['literature'];27;2024-06-26;8
11;11;['bulgarian'];Lecce;"[""Piazza Sant'Oronzo""]";['art'];39;2024-06-16;6
12;12;['dutch', 'french', 'italian'];Lecce;['Museo Faggiano'];['museums'];29;2024-06-14;10
13;13;['chinese', 'english'];Lecce;['Porta Napoli', 'Roman Theatre'];['archeology', 'art'];35;2024-06-22;5
14;14;['chinese', 'french'];Lecce;['Roman Theatre'];['archeology'];38;2024-06-29;9
15;15;['deutsche', 'chinese'];Lecce;['Museo Faggiano', 'San Giovanni Battista Church'];['literature', 'museums'];21;2024-06-09;9
16;16;['spanish', 'bulgarian', 'french'];Lecce;['Torre del Parco', 'Basilica di Santa Croce'];['history'];19;2024-06-16;6
17;17;['dutch'];Lecce;"[""Piazza Sant'Oronzo"", 'Porta Napoli', 'Church of San Matteo']";['art', 'literature'];29;2024-06-26;12
18;18;['italian', 'dutch'];Lecce;['Palazzo Carafa', 'Palazzo dei Celestini'];['history'];33;2024-06-22;9
19;19;['bulgarian', 'deutsche', 'english'];Lecce;['Church of San Francesco della Scarpa', 'Museo Faggiano', 'San Giovanni Battista Church'];['literature', 'museums'];30;2024-06-14;6
20;20;['deutsche', 'french'];Lecce;['Church of San Matteo', 'Villa Comunale di Lecce', 'Castello di Carlo V'];['countryside', 'history', 'literature'];16;2024-06-13;9
21;21;['chinese'];Lecce;['Porta Napoli'];['art'];28;2024-06-05;9
